code;short name;full name;country;url
3137;Mávépcell;Mávépcell Mély-Magas-és Vasútépíto Kft.;;
3138;RCCIT;Rail Cargo Carrier Italy Srl;IT;http://www.railcargocarrier.com/
3139;UTC AD;Unitranscom AD;BG;
3140;LEG;LEG Leipziger Eisenbahnverkehrsgesellschaft mbH;DE;http://www.leipziger-eisenbahn.de/
3141;SNCB - NS Reizigers;SNCB Passengers International & NS Reizigers;BE;
3142;IDS CARGO;IDS CARGO a.s.;CZ;http://www.ids-cargo.cz/
3143;Europorte France;Europorte France;FR;http://www.europorte.com/
3144;STK;STK S.A.;PL;http://www.stk.wroc.pl/
3145;PKPCI;PKP CARGO INTERNATIONAL a.s.;CZ;www.pkpcargointernational.com
3146;DBCRO;Deutsche Bahn Cargo Romania SRL;RO;http://ro.dbcargo.com/
3147;EXSK;Express Group, a.s.;SK;http://www.expressgroup.sk/
3148;ODOS;Ostravská dopravní společnost, a.s.;CZ;http://www.odos.cz/
3149;SPRINGMASTER;SPRINGMASTER;ZA;http://www.springmaster.co.za/
3150;PCC Intermodal S.A.;PCC Intermodal Spółka Akcyjna;PL;http://www.pccintermodal.pl/
3151;KM;Koleje Mazowieckie-KM' Sp. z o.o.;PL;http://www.mazowieckie.com.pl/
3152;AMEH Trans;ArcelorMittal Eisenhüttenstadt Transport GmbH;DE;http://www.arcelormittal-ehst.com/
3153;WIENER LINIEN;WIENER LINIEN GmbH & Co KG;AT;http://www.wienerlinien.at/
3154;UTZ;SC UNICOM TRANZIT SA;RO;http://www.unicom-group.ro/unifer/
3155;RVF;Regio-Verkehrsverbund Freiburg GmbH;DE;http://www.rvf.de/
3156;ZIK;Zakład Inżynierii Kolejowej Sp. z o. o.;PL;http://www.ziksandomierz.pl/
